kpi_id,project_id,metric_name,direction,target_value,actual_value,unit,reporting_cadence,data_source,validation_status,last_updated,variance,favorable_variance,attainment_pct,target_met
K001,P001,Records passing QA,higher_is_better,90,88,percent,Weekly,Synthetic CRM QA output,Validated,2026-07-18,-2,-2,97.8,False
K002,P001,Exception queue rate,lower_is_better,20,24,percent,Weekly,Synthetic exception log,Review Required,2026-07-18,4,-4,83.3,False
K003,P002,Priority pages indexed,higher_is_better,85,79,percent,Weekly,Synthetic search index report,Validated,2026-07-18,-6,-6,92.9,False
K004,P002,Search content completion,higher_is_better,75,68,percent,Weekly,Synthetic content tracker,Validated,2026-07-18,-7,-7,90.7,False
K005,P003,Forms with source capture,higher_is_better,100,72,percent,Weekly,Synthetic form QA,Review Required,2026-07-18,-28,-28,72.0,False
K006,P003,Unverified conversions,lower_is_better,8,14,count,Weekly,Synthetic attribution audit,Review Required,2026-07-18,6,-6,57.1,False
K007,P004,Work orders categorized,higher_is_better,95,61,percent,Biweekly,Synthetic operations extract,Pending,2026-07-18,-34,-34,64.2,False
K008,P004,Records missing documentation,lower_is_better,15,26,percent,Biweekly,Synthetic documentation audit,Pending,2026-07-18,11,-11,57.7,False
K009,P005,Eligible records processed,higher_is_better,100,100,percent,Monthly,Synthetic outreach log,Validated,2026-06-30,0,0,100.0,True
K010,P005,Duplicate outreach rate,lower_is_better,2,0,percent,Monthly,Synthetic suppression log,Validated,2026-06-30,-2,2,150.0,True
K011,P006,Delivery records reconciled,higher_is_better,98,94,percent,Weekly,Synthetic vendor delivery file,Validated,2026-07-18,-4,-4,95.9,False
K012,P006,Responses with source attribution,higher_is_better,90,58,percent,Weekly,Synthetic response tracker,Review Required,2026-07-18,-32,-32,64.4,False
K013,P007,Suppression compliance,higher_is_better,100,100,percent,Weekly,Synthetic outreach control log,Validated,2026-07-18,0,0,100.0,True
K014,P007,Follow-ups sent on schedule,higher_is_better,90,83,percent,Weekly,Synthetic follow-up tracker,Validated,2026-07-18,-7,-7,92.2,False
K015,P008,Conversions classified,higher_is_better,100,67,percent,Weekly,Synthetic paid media audit,Review Required,2026-07-18,-33,-33,67.0,False
K016,P008,Behavior-only events remaining,lower_is_better,10,28,percent,Weekly,Synthetic event taxonomy,Pending,2026-07-18,18,-18,35.7,False
K017,P009,Vendors scored,higher_is_better,8,8,count,Monthly,Synthetic vendor scorecard,Validated,2026-06-20,0,0,100.0,True
K018,P009,High-risk gaps unresolved,lower_is_better,0,0,count,Monthly,Synthetic risk register,Validated,2026-06-20,0,0,150.0,True
K019,P010,Projects represented,higher_is_better,12,12,count,Weekly,Synthetic project register,Validated,2026-07-18,0,0,100.0,True
K020,P010,KPIs with assigned owners,higher_is_better,100,92,percent,Weekly,Synthetic KPI register,Review Required,2026-07-18,-8,-8,92.0,False
K021,P011,Model-ready records,higher_is_better,80,42,percent,Biweekly,Synthetic modeling dataset,Pending,2026-07-18,-38,-38,52.5,False
K022,P011,Features passing validation,higher_is_better,90,55,percent,Biweekly,Synthetic feature QA,Pending,2026-07-18,-35,-35,61.1,False
K023,P012,Content items completed,higher_is_better,20,14,count,Weekly,Synthetic editorial calendar,Validated,2026-07-18,-6,-6,70.0,False
K024,P012,Items returned for revision,lower_is_better,3,4,count,Weekly,Synthetic approval log,Review Required,2026-07-18,1,-1,75.0,False
