project_id,project_name,category,owner,priority,status,start_date,due_date,progress_pct,business_objective,evidence_reference,last_update,days_to_due,open_blockers,blocker_severity_score,avg_attainment_pct,kpis_met,total_kpis,risk_score,health
P001,Lead Intelligence System,Marketing Analytics,Growth Analytics Lead,High,On Track,2026-05-04,2026-08-15,82,"Improve lead-data quality, matching, and attribution visibility.",docs/case_study.md,2026-07-18,28,0.0,0.0,90.55,0,2,2.0,Healthy
P002,Local Search Growth Framework,Search Strategy,Search Strategy Lead,High,On Track,2026-05-18,2026-08-28,68,Strengthen local search visibility and conversion pathways.,docs/case_study.md,2026-07-18,41,1.0,2.0,91.80000000000001,0,2,4.0,Watch
P003,Website Attribution Pipeline,Marketing Technology,Marketing Technology Analyst,Critical,At Risk,2026-06-01,2026-07-31,54,"Standardize source capture, routing, and conversion verification.",docs/architecture.md,2026-07-18,13,1.0,3.0,64.55,0,2,9.0,Critical
P004,Maintenance Operations Analytics,Business Analytics,Operations Analyst,Medium,Planning,2026-07-01,2026-10-15,31,"Identify documentation gaps, cancellation risk, and process bottlenecks.",docs/data_dictionary.md,2026-07-18,89,1.0,2.0,60.95,0,2,4.0,Watch
P005,Review Generation Automation,Reputation Operations,Marketing Operations Analyst,Medium,Complete,2026-04-01,2026-06-30,100,"Standardize qualification, deduplication, and controlled review outreach.",docs/case_study.md,2026-06-30,-18,0.0,0.0,125.0,2,2,1.0,Healthy
P006,Direct Mail Attribution System,Campaign Operations,Campaign Analyst,High,At Risk,2026-06-15,2026-08-05,63,"Connect delivery evidence, campaign costs, CTAs, and response tracking.",docs/qa_rules.md,2026-07-18,18,1.0,3.0,80.15,0,2,8.0,Critical
P007,Luxury Agent Outreach Pipeline,Growth Operations,Growth Operations Analyst,High,On Track,2026-05-25,2026-09-01,76,"Control outreach eligibility, suppression, follow-up, and reporting.",docs/case_study.md,2026-07-18,45,0.0,0.0,96.1,1,2,2.0,Healthy
P008,Paid Media Conversion Audit,Paid Media Analytics,Marketing Analytics Engineer,Critical,Blocked,2026-06-20,2026-07-25,47,Separate qualified lead evidence from behavioral conversion events.,docs/qa_rules.md,2026-07-18,7,1.0,4.0,51.35,0,2,14.0,Critical
P009,AI Vendor Evaluation Framework,AI Operations,AI Operations Analyst,Medium,Complete,2026-03-15,2026-06-20,100,"Evaluate AI vendors across value, cost, integration, risk, and scale.",docs/case_study.md,2026-06-20,-28,0.0,0.0,125.0,2,2,1.0,Healthy
P010,Executive Performance Dashboard,Operations Intelligence,Business Analytics Lead,High,On Track,2026-06-10,2026-08-30,71,"Centralize KPI, milestone, blocker, and decision visibility.",docs/architecture.md,2026-07-18,43,0.0,0.0,96.0,1,2,2.0,Healthy
P011,Campaign Prediction Models,Predictive Analytics,Data Analyst,Medium,Planning,2026-07-08,2026-10-31,28,"Support targeting, forecasting, and campaign prioritization.",docs/data_dictionary.md,2026-07-18,105,1.0,2.0,56.8,0,2,4.0,Watch
P012,Content Operations System,Content Strategy,Content Operations Lead,Medium,On Track,2026-06-05,2026-09-15,66,"Create repeatable planning, QA, approval, and publishing workflows.",docs/case_study.md,2026-07-18,59,0.0,0.0,72.5,0,2,1.0,Healthy
